Tratamiento,Replica,DDS,Semillas germinadas
1,1,1,0
1,2,1,0
1,3,1,0
1,1,2,0
1,2,2,0
1,3,2,0
1,1,3,0
1,2,3,2
1,3,3,0
1,1,6,0
1,2,6,2
1,3,6,0
1,1,7,8
1,2,7,4
1,3,7,2
1,1,8,8
1,2,8,5
1,3,8,2
1,1,9,8
1,2,9,6
1,3,9,4
1,1,10,10
1,2,10,8
1,3,10,9
2,1,1,0
2,2,1,0
2,3,1,0
2,1,2,0
2,2,2,2
2,3,2,2
2,1,3,2
2,2,3,5
2,3,3,4
2,1,6,4
2,2,6,9
2,3,6,11
2,1,7,5
2,2,7,12
2,3,7,13
2,1,8,5
2,2,8,12
2,3,8,13
2,1,9,5
2,2,9,12
2,3,9,14
2,1,10,15
2,2,10,13
2,3,10,15
3,1,1,0
3,2,1,0
3,3,1,0
3,1,2,0
3,2,2,0
3,3,2,1
3,1,3,1
3,2,3,1
3,3,3,3
3,1,6,5
3,2,6,7
3,3,6,9
3,1,7,7
3,2,7,8
3,3,7,10
3,1,8,7
3,2,8,8
3,3,8,10
3,1,9,7
3,2,9,8
3,3,9,10
3,1,10,16
3,2,10,9
3,3,10,12
4,1,1,0
4,2,1,0
4,3,1,0
4,1,2,1
4,2,2,0
4,3,2,0
4,1,3,5
4,2,3,0
4,3,3,2
4,1,6,11
4,2,6,4
4,3,6,5
4,1,7,11
4,2,7,4
4,3,7,5
4,1,8,12
4,2,8,4
4,3,8,7
4,1,9,12
4,2,9,4
4,3,9,7
4,1,10,14
4,2,10,9
4,3,10,12
5,1,1,0
5,2,1,0
5,3,1,0
5,1,2,3
5,2,2,0
5,3,2,5
5,1,3,4
5,2,3,4
5,3,3,6
5,1,6,5
5,2,6,8
5,3,6,12
5,1,7,6
5,2,7,9
5,3,7,12
5,1,8,7
5,2,8,10
5,3,8,13
5,1,9,8
5,2,9,13
5,3,9,13
5,1,10,8
5,2,10,13
5,3,10,13
6,1,1,0
6,2,1,0
6,3,1,0
6,1,2,2
6,2,2,1
6,3,2,0
6,1,3,8
6,2,3,10
6,3,3,5
6,1,6,11
6,2,6,9
6,3,6,8
6,1,7,11
6,2,7,10
6,3,7,10
6,1,8,13
6,2,8,10
6,3,8,12
6,1,9,13
6,2,9,11
6,3,9,13
6,1,10,13
6,2,10,11
6,3,10,14
