"Tratamiento","DDS","Semillas_germinadas"
"T1",0,0
"T1",1,0
"T1",2,2
"T1",3,2
"T1",6,14
"T1",7,15
"T1",8,18
"T1",9,27
"T1",10,27
"T2",0,0
"T2",1,4
"T2",2,11
"T2",3,24
"T2",6,30
"T2",7,30
"T2",8,30
"T2",9,43
"T2",10,43
"T3",0,0
"T3",1,1
"T3",2,5
"T3",3,21
"T3",6,25
"T3",7,25
"T3",8,25
"T3",9,37
"T3",10,37
"T4",0,0
"T4",1,1
"T4",2,7
"T4",3,20
"T4",6,20
"T4",7,23
"T4",8,23
"T4",9,35
"T4",10,35
"T5",0,0
"T5",1,8
"T5",2,14
"T5",3,25
"T5",6,27
"T5",7,30
"T5",8,34
"T5",9,34
"T5",10,34
"T6",0,0
"T6",1,3
"T6",2,23
"T6",3,28
"T6",6,31
"T6",7,35
"T6",8,37
"T6",9,38
"T6",10,38
