"","Rhizotron","Profundidad","Peso  bolsas vacías (g)","Peso fresco + bolsas (g)","Peso seco + bolsas (g)","Número de plantas final","Peso fresco (g)","Peso seco (g)","Peso seco aéreo por planta (g)"
"1",1,2,3.48,4.84333333333333,3.62,5,1.36333333333333,0.14,0.0279999999999999
"2",2,2,3.43666666666667,6.19333333333333,3.73333333333333,9,2.75666666666667,0.296666666666666,0.0329629629629629
"3",3,2,3.49,6.80666666666667,3.90333333333333,12,3.31666666666667,0.413333333333334,0.0344444444444445
"4",4,2,3.48666666666667,4.7,3.58,5,1.21333333333333,0.0933333333333333,0.0186666666666667
"5",1,5,3.43333333333333,3.79333333333333,3.43666666666667,2,0.36,0.00333333333333341,0.00166666666666671
"6",2,5,3.46,4.05666666666667,3.50333333333333,2,0.596666666666666,0.043333333333333,0.0216666666666665
"7",3,5,2.88,4.42333333333333,3.02333333333333,6,1.54333333333333,0.143333333333333,0.0238888888888888
"8",4,5,2.94,3.95,3.02,3,1.01,0.0800000000000001,0.0266666666666667
"9",1,10,0,0,0,0,0,0,0
"10",2,10,0,0,0,0,0,0,0
"11",3,10,0,0,0,0,0,0,0
"12",4,10,0,0,0,0,0,0,0
"13",1,20,0,0,0,0,0,0,0
"14",2,20,0,0,0,0,0,0,0
"15",3,20,0,0,0,0,0,0,0
"16",4,20,0,0,0,0,0,0,0
"17",1,30,0,0,0,0,0,0,0
"18",2,30,0,0,0,0,0,0,0
"19",3,30,0,0,0,0,0,0,0
"20",4,30,0,0,0,0,0,0,0
